event,model,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,cv_log_loss,params
licensing_agreements,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,5,20,25,100.0,100.0,4,1,4,1,80.0,20.0,0.4233510732882322,"{'n_estimators': 298, 'min_samples_split': 7, 'min_samples_leaf': 1}"
fund_data_announcement,AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,7,26,33,100.0,100.0,5,2,5,2,71.42857142857143,28.57142857142857,0.3815045316715666,"{'n_estimators': 211, 'learning_rate': 1.996271552789765}"
interim_information,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,3,10,13,100.0,100.0,2,1,2,1,66.66666666666666,33.33333333333333,0.6123825352316224,"{'n_estimators': 299, 'min_samples_split': 5, 'min_samples_leaf': 1}"
bond_fixing,AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,4,16,20,100.0,100.0,1,3,1,3,25.0,75.0,0.3713724554874171,"{'n_estimators': 253, 'learning_rate': 1.2440368053765156}"
capital_investment,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,4,12,16,100.0,100.0,2,2,2,2,50.0,50.0,0.5329171286559856,"{'n_estimators': 52, 'min_samples_split': 5, 'min_samples_leaf': 1}"
financial_results,RandomForestClassifier,0.9354838709677419,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9453781512605042,31,123,154,94.11764705882352,92.85714285714286,17,14,16,13,54.83870967741935,45.16129032258064,0.5301392428136292,"{'n_estimators': 263, 'min_samples_split': 2, 'min_samples_leaf': 1}"
changes_in_companys_own_shares,XGBClassifier,0.9090909090909091,0.875,1.0,0.9333333333333333,0.9285714285714286,11,41,52,100.0,75.0,7,4,7,3,72.72727272727273,27.27272727272727,0.6540852220690063,"{'n_estimators': 50, 'max_depth': 17, 'learning_rate': 0.028981978863981333, 'subsample': 0.5853357991310321}"
corporate_action,RandomForestClassifier,0.9090909090909091,0.8888888888888888,1.0,0.9411764705882353,0.9166666666666667,11,40,51,100.0,66.66666666666666,8,3,8,2,81.81818181818183,18.181818181818183,0.36854512458191735,"{'n_estimators': 67, 'min_samples_split': 6, 'min_samples_leaf': 1}"
product_services_announcement,RandomForestClassifier,0.9,0.9,0.9,0.9,0.9,20,77,97,90.0,90.0,10,10,9,9,50.0,50.0,0.38577753606881143,"{'n_estimators': 144, 'min_samples_split': 2, 'min_samples_leaf': 1}"
business_contracts,RandomForestClassifier,0.875,1.0,0.8,0.8888888888888888,1.0,8,28,36,80.0,100.0,5,3,4,3,50.0,50.0,0.32593514411931795,"{'n_estimators': 94, 'min_samples_split': 2, 'min_samples_leaf': 1}"
clinical_study,RandomForestClassifier,0.872093023255814,0.8953488372093024,0.8555555555555555,0.875,0.9198509485094851,172,685,857,85.55555555555556,89.02439024390245,90,82,77,73,50.0,50.0,0.4772395337222268,"{'n_estimators': 139, 'min_samples_split': 2, 'min_samples_leaf': 1}"
regulatory_filings,RandomForestClassifier,0.8666666666666667,1.0,0.75,0.8571428571428571,0.9464285714285714,15,57,72,75.0,100.0,8,7,6,7,40.0,60.0,0.44565289455398155,"{'n_estimators': 148, 'min_samples_split': 2, 'min_samples_leaf': 1}"
all_events,RandomForestClassifier,0.8591800356506238,0.8654545454545455,0.85,0.8576576576576577,0.9292641077783427,561,2241,2802,85.0,86.83274021352312,280,281,238,244,49.01960784313725,50.98039215686274,0.46412178803972387,"{'n_estimators': 213, 'min_samples_split': 2, 'min_samples_leaf': 1}"
partnerships,RandomForestClassifier,0.8571428571428571,0.8,1.0,0.8888888888888888,0.7291666666666667,14,55,69,100.0,66.66666666666666,8,6,8,4,71.42857142857143,28.57142857142857,0.3003099585168408,"{'n_estimators': 233, 'min_samples_split': 2, 'min_samples_leaf': 1}"
mergers_acquisitions,AdaBoostClassifier,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,1.0,12,44,56,71.42857142857143,100.0,7,5,5,5,41.66666666666667,58.333333333333336,0.5888898923018607,"{'n_estimators': 265, 'learning_rate': 1.3469103732506658}"
patents,RandomForestClassifier,0.8333333333333334,0.8,1.0,0.8888888888888888,1.0,6,24,30,100.0,50.0,4,2,4,1,83.33333333333334,16.666666666666664,0.36837807625785096,"{'n_estimators': 146, 'min_samples_split': 2, 'min_samples_leaf': 1}"
trade_show,LogisticRegression,0.8333333333333334,0.6666666666666666,1.0,0.8,0.8125,6,20,26,100.0,75.0,2,4,2,3,50.0,50.0,5.267655751391383,"{'C': 9.857582776007666, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 1000}"
annual_general_meeting,XGBClassifier,0.8333333333333334,1.0,0.6,0.75,0.8285714285714285,12,45,57,60.0,100.0,5,7,3,7,25.0,75.0,0.4658890619594289,"{'n_estimators': 51, 'max_depth': 19, 'learning_rate': 0.07572520623329572, 'subsample': 0.9628646246520803}"
management_changes,RandomForestClassifier,0.8148148148148148,0.8,0.7272727272727273,0.7619047619047619,0.8863636363636364,27,107,134,72.72727272727273,87.5,11,16,8,14,37.03703703703704,62.96296296296296,0.43426858324239404,"{'n_estimators': 169, 'min_samples_split': 2, 'min_samples_leaf': 1}"
shares_issue,XGBClassifier,0.8125,1.0,0.4,0.5714285714285714,1.0,16,63,79,40.0,100.0,5,11,2,11,12.5,87.5,0.49651677463816385,"{'n_estimators': 276, 'max_depth': 3, 'learning_rate': 0.29244490452747113, 'subsample': 0.6162303187347985}"
voting_rights,AdaBoostClassifier,0.8,1.0,0.5,0.6666666666666666,0.5,5,17,22,50.0,100.0,2,3,1,3,20.0,80.0,0.574035673101931,"{'n_estimators': 136, 'learning_rate': 0.8563609638611094}"
company_regulatory_filings,RandomForestClassifier,0.8,0.75,1.0,0.8571428571428571,0.8333333333333333,5,18,23,100.0,50.0,3,2,3,1,80.0,20.0,0.30272781527708464,"{'n_estimators': 203, 'min_samples_split': 2, 'min_samples_leaf': 1}"
conference_call_webinar,XGBClassifier,0.7611940298507462,0.7619047619047619,0.5925925925925926,0.6666666666666666,0.8907407407407407,67,264,331,59.25925925925925,87.5,27,40,16,35,31.343283582089555,68.65671641791045,0.552107893203485,"{'n_estimators': 180, 'max_depth': 14, 'learning_rate': 0.016977670166492806, 'subsample': 0.7592541776576597}"
exchange_announcement,RandomForestClassifier,0.75,0.6666666666666666,0.8,0.7272727272727273,0.8142857142857143,12,45,57,80.0,71.42857142857143,5,7,4,5,50.0,50.0,0.32279754694582724,"{'n_estimators': 213, 'min_samples_split': 2, 'min_samples_leaf': 1}"
financing_agreements,AdaBoostClassifier,0.75,0.7142857142857143,0.625,0.6666666666666666,0.703125,20,80,100,62.5,83.33333333333334,8,12,5,10,35.0,65.0,0.5177452607860923,"{'n_estimators': 59, 'learning_rate': 0.09210811116811629}"
press_releases,RandomForestClassifier,0.7272727272727273,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8,11,44,55,83.33333333333334,60.0,6,5,5,3,63.63636363636363,36.36363636363637,0.500131098748037,"{'n_estimators': 144, 'min_samples_split': 3, 'min_samples_leaf': 1}"
earnings_releases_and_operating_results,RandomForestClassifier,0.71875,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.763888888888889,32,127,159,78.57142857142857,66.66666666666666,14,18,11,12,53.125,46.875,0.5244032893760188,"{'n_estimators': 164, 'min_samples_split': 2, 'min_samples_leaf': 1}"
dividend_reports_and_estimates,LogisticRegression,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,3,11,14,100.0,50.0,1,2,1,1,66.66666666666666,33.33333333333333,6.077274327809463,"{'C': 0.020150098734901804, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 1000}"
